titulo,link,fuente,fecha
"Exseminaristas entregan aporte económico a los salesianos","https://www.diariolibre.com/actualidad/nacional/2025/10/01/exseminaristas-hacen-aporte-a-los-salesianos/3264059","www.diariolibre.com","2025-10-01T21:29:43.114364"
"Gobierno anuncia 40 mil familias fueron integradas a la Ruta de Superación de la Pobreza","https://www.diariolibre.com/actualidad/nacional/2025/10/01/integran-a-40-mil-familias-a-la-ruta-de-superacion-de-la-pobreza/3263943","www.diariolibre.com","2025-10-01T21:29:43.114384"
"Imputado de abusar y estrangular a Jostin llevó la Policía hasta donde estaba el cadáver","https://www.diariolibre.com/actualidad/nacional/2025/10/01/agresor-de-jostin-llevo-autoridades-donde-abandono-el-cuerpo/3263926","www.diariolibre.com","2025-10-01T21:29:43.114399"
"Tres meses de prisión preventiva a hombre acusado de raptar, violar y asesinar al niño Jostin","https://www.diariolibre.com/actualidad/nacional/2025/10/01/a-prision-acusado-de-raptar-violar-y-asesinar-al-nino-jostin-peralta/3263604","www.diariolibre.com","2025-10-01T21:29:43.114412"
"Familia de Jostin Peralta no aceptará menos de 30 años para su violador y asesino, dice su abogado","https://www.diariolibre.com/actualidad/nacional/2025/10/01/familia-de-jostin-peralta-no-aceptara-menos-de-30-anos-carcel/3262778","www.diariolibre.com","2025-10-01T21:29:43.114426"
"Consejo de Seguridad de la ONU aprueba nueva misión en Haití para eliminar a las pandillas","https://www.diariolibre.com/actualidad/nacional/2025/10/01/el-consejo-de-seguridad-de-la-onu-aprueba-nueva-mision-en-haiti/3263033","www.diariolibre.com","2025-10-01T21:29:43.114439"
"Autoridades aeronáuticas investigan aterrizaje de emergencia de un avión en el AILA","https://www.diariolibre.com/actualidad/nacional/2025/09/30/autoridades-investigan-aterrizaje-de-emergencia-de-avion-en-aila/3262876","www.diariolibre.com","2025-10-01T21:29:43.114451"
"Un avión aterriza de emergencia en el AILA; no hay heridos","https://www.diariolibre.com/actualidad/nacional/2025/09/30/avion-aterriza-de-emergencia-en-el-aila-no-hay-heridos/3262816","www.diariolibre.com","2025-10-01T21:29:43.114463"
"Lluvias benefician la presa de Tavera y mejoran el suministro de agua en Santiago","https://www.diariolibre.com/actualidad/nacional/2025/09/30/lluvias-benefician-presa-de-tavera-y-suministro-de-agua-en-santiago/3262527","www.diariolibre.com","2025-10-01T21:29:43.114476"
"Abinader confía en que el Ministerio Público hará justicia en el caso de La Barranquita","https://www.diariolibre.com/actualidad/nacional/2025/09/29/abinader-confia-se-hara-justicia-en-el-caso-la-barranquita/3261571","www.diariolibre.com","2025-10-01T21:29:43.114488"
"TBT Deportivo:  Octavio Dotel, un adiós inesperado y un legado imborrable en el montículo","https://www.diariolibre.com/deportes/columnistas/2025/04/11/el-adios-de-octavio-dotel-y-su-legado-en-el-beisbol-mundial/3070512","www.diariolibre.com","2025-10-01T21:29:43.126629"
"Diálogo Libre","https://www.diariolibre.com/actualidad/dialogo-libre","www.diariolibre.com","2025-10-01T21:29:43.156627"
"José Boquete","https://www.diariolibre.com/actualidad/jose-boquete","www.diariolibre.com","2025-10-01T21:29:43.156639"
"Reportajes","https://www.diariolibre.com/actualidad/reportajes","www.diariolibre.com","2025-10-01T21:29:43.156650"
"Actualidad","https://www.diariolibre.com/actualidad","www.diariolibre.com","2025-10-01T21:29:43.165250"
"Última hora","https://www.diariolibre.com/ultima-hora","www.diariolibre.com","2025-10-01T21:29:43.165321"
"Edición USA","https://www.diariolibre.com/usa?noredirect=1","www.diariolibre.com","2025-10-01T21:29:43.165333"
"Edición RD","https://www.diariolibre.com/?noredirect=1","www.diariolibre.com","2025-10-01T21:29:43.165345"
"Edición Impresa","https://epaper.diariolibre.com/epaper/","www.diariolibre.com","2025-10-01T21:29:43.165360"
"Sobre Diario Libre","https://www.diariolibre.com/sobre-diario-libre","www.diariolibre.com","2025-10-01T21:29:43.165372"
"Abinader pide apoyo para misión en Haití a Vladimir Putin y Xi Jinping","https://listindiario.com/la-republica/20251001/abinader-pide-apoyo-mision-haiti-vladimir-putin-xi-jinping_876458.html","listindiario.com","2025-10-01T21:29:43.689942"
"Supuesta venta de fusil de alto calibre ocasionó muerte de cinco hombres en Santiago","https://listindiario.com/la-republica/20251001/supuesta-venta-fusil-alto-calibre-ocasiono-muerte-cinco-hombres-santiago_876456.html","listindiario.com","2025-10-01T21:29:43.689961"
"Apresan hombre que intentó robar en el Hospital Marcelino Vélez","https://listindiario.com/la-republica/sector-salud/20251001/apresan-hombre-intento-robar-hospital-marcelino-velez_876439.html","listindiario.com","2025-10-01T21:29:43.689975"
"Tribunal varía coerción a dos implicados de muerte del niño Gioser Luis Feliz","https://listindiario.com/la-republica/20251001/tribunal-varia-coercion-dos-implicados-muerte-nino-gioser-luis_876448.html","listindiario.com","2025-10-01T21:29:43.689988"
"Embajada de EE.UU. avisa limitaciones en redes y que servicios de visas seguirán según lo permita la situación","https://listindiario.com/la-republica/20251001/cierre-federal-gobierno-eeuu-afecta-publicaciones-redes-embajada-pais_876434.html","listindiario.com","2025-10-01T21:29:43.690002"
"Cada mes en 2024 se robaron más de 400 motocicletas","https://listindiario.com/la-republica/20251001/mes-2024-robaron-mas-400-motocicletas_876432.html","listindiario.com","2025-10-01T21:29:43.690015"
"Investigan aterrizaje de emergencia de aeronave en Aeropuerto de Las Américas","https://listindiario.com/la-republica/20250930/investigan-aterrizaje-emergencia-aeronave-aeropuerto-americas_876429.html","listindiario.com","2025-10-01T21:29:43.690028"
"Apresan a 11 policías vinculados a muerte de cinco hombres en Santiago","https://listindiario.com/la-republica/20250930/once-policias-apresados-muerte-cinco-hombres-abatidos-santiago_876393.html","listindiario.com","2025-10-01T21:29:43.690041"
"Gobierno destinó RD$54 mil millones al pago de pensiones en 2025","https://listindiario.com/la-republica/20251001/gobierno-destino-rd-mil-millones-pago-pensiones-2025_876412.html","listindiario.com","2025-10-01T21:29:43.690053"
"Empresa de equipos médicos niega vinculación irregular con Senasa","https://listindiario.com/la-republica/sector-salud/20251001/empresa-equipos-medicos-niega-vinculacion-irregular-senasa_876408.html","listindiario.com","2025-10-01T21:29:43.690068"
"Cuba acusa a EEUU de imponer a República Dominicana decisión de no invitarla a la Cumbre","https://listindiario.com/la-republica/20250930/cuba-acusa-eeuu-imponer-republica-dominicana-decision-invitarla-cumbre_876404.html","listindiario.com","2025-10-01T21:29:43.690081"
"Abinader indica que RD trabajará por una “acelerada transición” hacia nueva fuerza antipandillas en Haití","https://listindiario.com/la-republica/20250930/abinader-indica-rd-trabajara-acelerada-transicion-nueva-fuerza-antipandillas-haiti_876398.html","listindiario.com","2025-10-01T21:29:43.690093"
"Protocolo migratorio sigue activo en las maternidades","https://listindiario.com/la-republica/sector-salud/20251001/protocolo-migratorio-sigue-activo-maternidades_876389.html","listindiario.com","2025-10-01T21:29:43.690105"
"Banco Popular: Socio y promotor estratégico del turismo","https://listindiario.com/patrocinados/20250927/banco-popular-socio-promotor-estrategico-turismo_875861.html","listindiario.com","2025-10-01T21:29:43.690117"
"CCN: nueve décadas de trabajo, pasión, innovación y compromiso","https://listindiario.com/patrocinados/20250929/ccn-nueve-decadas-trabajo-pasion-innovacion-compromiso_876154.html","listindiario.com","2025-10-01T21:29:43.690129"
"Encuentran sin vida a hombre que hirió a tiros a su expareja en Moca","https://listindiario.com/la-republica/20251001/encuentran-vida-hombre-hirio-tiros-ex-pareja-moca_876466.html","listindiario.com","2025-10-01T21:29:43.690141"
"Instituto Duartiano juramenta a 24 nuevos miembros de honor","https://listindiario.com/la-republica/20251001/instituto-duartiano-juramenta-24-nuevos-miembros-honor_876423.html","listindiario.com","2025-10-01T21:29:43.690152"
"UNIBE inicia semana de la innovación: IA protagoniza feria universitaria","https://listindiario.com/la-republica/20251001/unibe-inicia-semana-innovacion-ia-protagoniza-feria-universitaria_876315.html","listindiario.com","2025-10-01T21:29:43.690164"
"Aerolínea explica razón de aterrizaje de emergencia de una de sus aeronaves","https://listindiario.com/la-republica/20250930/aerolinea-explica-razon-aterrizaje-emergencia-aeronaves_876391.html","listindiario.com","2025-10-01T21:29:43.690176"
"Avión aterriza de emergencia en Aeropuerto de Las Américas por "falla técnica"","https://listindiario.com/la-republica/20250930/avion-aterriza-emergencia-aeropuerto-americas-falla-tecnica_876371.html","listindiario.com","2025-10-01T21:29:43.690188"
"Gobierno se "regocija" por aprobación de nueva fuerza antipandillas en Haití","https://listindiario.com/la-republica/20250930/roberto-alvarez-sobre-resolucion-onu-esfuerzo-diplomatico-dominicano-desempenado-papel-clave_876337.html","listindiario.com","2025-10-01T21:29:43.690200"
"Este primero de octubre inician las entrevistas presenciales en la Embajada de los EEUU","https://listindiario.com/la-republica/20250930/primero-octubre-inician-entrevistas-presenciales-embajada-eeuu_876322.html","listindiario.com","2025-10-01T21:29:43.690223"
"Miguel Vargas llama al gobierno a tomar acciones concretas para detener “descalabro” de servicios","https://listindiario.com/la-republica/20250930/miguel-vargas-llama-gobierno-tomar-acciones-concretas-detener-descalabro-servicios_876317.html","listindiario.com","2025-10-01T21:29:43.690238"
"Policía Cibernética apresa a mujer que extorsionó a ciudadano por Facebook y WhatsApp","https://listindiario.com/la-republica/20250930/policia-cibernetica-apresa-mujer-extorsiono-ciudadano-facebook-whatsapp_876313.html","listindiario.com","2025-10-01T21:29:43.690249"
"El Idoppril no se ve afectado por supuesto desfalco en Senasa, según su director","https://listindiario.com/la-republica/20250930/idoppril-afirma-ve-afectada-supuesto-desfalco-senasa_876308.html","listindiario.com","2025-10-01T21:29:43.690261"
"En 2024 hubo casi 6,000 denuncias por robos de vehículos en República Dominicana","https://eldinero.com.do/338738/en-2024-hubo-casi-6000-denuncias-por-robos-de-vehiculos-en-republica-dominicana/","eldinero.com.do","2025-10-01T21:29:48.421149"
"Crédito externo y donaciones financiaron el 17% de los proyectos de inversión pública en primer semestre en RD","https://eldinero.com.do/338737/credito-externo-y-donaciones-financiaron-el-17-de-los-proyectos-de-inversion-publica-en-primer-semestre-en-rd/","eldinero.com.do","2025-10-01T21:29:48.421171"
"Banco Central reduce tasa de política monetaria en 25 puntos básicos","https://eldinero.com.do/338692/banco-central-reduce-tasa-de-politica-monetaria-en-25-puntos-basicos/","eldinero.com.do","2025-10-01T21:29:48.421187"
"RD apuesta al procesamiento industrial de la yuca para expandir exportaciones","https://eldinero.com.do/338615/rd-apuesta-al-procesamiento-industrial-de-la-yuca-para-expandir-exportaciones/","eldinero.com.do","2025-10-01T21:29:48.421201"
"Digitalización expande a industria de pagos electrónicos en América Latina","https://eldinero.com.do/338538/digitalizacion-expande-a-industria-de-pagos-electronicos-en-america-latina/","eldinero.com.do","2025-10-01T21:29:48.421227"
"Importación de vehículos eléctricos e híbridos gana terreno en últimos cinco años en RD","https://eldinero.com.do/338472/importacion-de-vehiculos-electricos-e-hibridos-gana-terreno-en-ultimos-cinco-anos-en-rd/","eldinero.com.do","2025-10-01T21:29:48.421243"
"La Cepal proyecta a República Dominicana entre economías de mayor crecimiento para 2026","https://eldinero.com.do/338425/la-cepal-proyecta-a-republica-dominicana-entre-economias-de-mayor-crecimiento-para-2026/","eldinero.com.do","2025-10-01T21:29:48.421257"
"Con educación y sanciones se busca transformar la movilidad en República Dominicana","https://eldinero.com.do/338432/con-educacion-y-sanciones-se-busca-transformar-la-movilidad-en-republica-dominicana/","eldinero.com.do","2025-10-01T21:29:48.421271"
"Pérdidas de las EDE suben a 38.2% en primeros siete meses de 2025","https://eldinero.com.do/338197/perdidas-de-las-ede-suben-a-38-2-en-primeros-siete-meses-de-2025/","eldinero.com.do","2025-10-01T21:29:48.421284"
"Escasez de mano de obra limita expansión del café dominicano","https://eldinero.com.do/338095/escasez-de-mano-de-obra-limita-expansion-del-cafe-dominicano/","eldinero.com.do","2025-10-01T21:29:48.421297"
"Zemí Miches Punta Cana: un paraíso all-inclusive para redescubrirte entre cultura y naturaleza","https://eldinero.com.do/338795/zemi-miches-punta-cana-un-paraiso-all-inclusive-para-redescubrirte-entre-cultura-y-naturaleza/","eldinero.com.do","2025-10-01T21:29:48.421311"
"Infotep y Fundación Genera ITM lanzan diplomado especializado en turismo de cruceros en Pedernales","https://eldinero.com.do/338051/infotep-y-fundacion-genera-itm-lanzan-diplomado-especializado-en-turismo-de-cruceros-en-pedernales/","eldinero.com.do","2025-10-01T21:29:48.421325"
"Arajet es reconocida como empresa del año en Sanford-Orlando","https://eldinero.com.do/338036/arajet-es-reconocida-como-empresa-del-ano-en-sanford-orlando/","eldinero.com.do","2025-10-01T21:29:48.421338"
"Más de la mitad de nuevos deudores en RD accede al sistema financiero vía tarjetas de crédito","https://eldinero.com.do/338739/mas-de-la-mitad-de-nuevos-deudores-en-rd-accede-al-sistema-financiero-via-tarjetas-de-credito/","eldinero.com.do","2025-10-01T21:29:48.421361"
"El dólar se cambia este martes para la venta a RD$62.42","https://eldinero.com.do/338678/el-dolar-se-cambia-este-martes-para-la-venta-a-rd62-42/","eldinero.com.do","2025-10-01T21:29:48.421382"
"Ministro Santos: “Sí hay petróleo o gas en territorio dominicano, pero hay que determinar su factibilidad económica”","https://eldinero.com.do/338820/ministro-santos-si-hay-petroleo-o-gas-en-territorio-dominicano-pero-hay-que-determinar-su-factibilidad-economica/","eldinero.com.do","2025-10-01T21:29:48.421396"
"Joel Santos y director del IADC evalúan cooperación estratégica en seguridad energética y minera","https://eldinero.com.do/338631/joel-santos-y-director-del-iadc-evaluan-cooperacion-estrategica-en-seguridad-energetica-y-minera/","eldinero.com.do","2025-10-01T21:29:48.421413"
"Gobierno deja sin variación precios de combustibles","https://eldinero.com.do/338505/gobierno-deja-sin-variacion-precios-de-combustibles/","eldinero.com.do","2025-10-01T21:29:48.421426"
"SIBA Energy avanza en la etapa final de su ciclo combinado","https://eldinero.com.do/338398/siba-energy-avanza-en-la-etapa-final-de-su-ciclo-combinado/","eldinero.com.do","2025-10-01T21:29:48.421440"
"Entidades del sector energía, minería e hidrocarburos participarán Feria Internacional del Libro Santo Domingo","https://eldinero.com.do/338310/entidades-del-sector-energia-mineria-e-hidrocarburos-participaran-feria-internacional-del-libro-santo-domingo/","eldinero.com.do","2025-10-01T21:29:48.421452"
"El petróleo de Texas baja un 0.06%, hasta los US$62.64 el barril","https://eldinero.com.do/338084/el-petroleo-de-texas-baja-un-0-06-hasta-los-us62-64-el-barril/","eldinero.com.do","2025-10-01T21:29:48.421472"
"Ministerio de Energía y Minas obtiene máxima puntuación en transparencia gubernamental","https://eldinero.com.do/338063/ministerio-de-energia-y-minas-obtiene-maxima-puntuacion-en-transparencia-gubernamental/","eldinero.com.do","2025-10-01T21:29:48.421484"
