titulo,link,fuente,fecha
"Impresa Plus","https://www.prensa.com/catalogos/","www.prensa.com","2025-10-01T21:29:41.576790"
"‘¿Quién va a jugar tenis en la villa diplomática?’","https://www.prensa.com/unidad-investigativa/quien-va-a-jugar-tenis-en-la-villa-diplomatica/","www.prensa.com","2025-10-01T21:29:41.592359"
"Ministro Moltó deberá contestar 17 preguntas sobre la mina en la Asamblea","https://www.prensa.com/economia/ministro-molto-debera-contestar-17-preguntas-sobre-la-mina-en-la-asamblea-nacional/","www.prensa.com","2025-10-01T21:29:41.592376"
"CONTENIDO DE MARCAS","https://www.prensa.com/contenido-de-marcas/","www.prensa.com","2025-10-01T21:29:41.592391"
"Mundo Marítimo","https://www.prensa.com/tema/mundo-maritimo/","www.prensa.com","2025-10-01T21:29:41.592404"
"Por dentro: la villa diplomática y el costo de su restauración. ‘Yo construí un edificio de 7 pisos por la misma cantidad’","https://www.prensa.com/unidad-investigativa/por-dentro-la-villa-diplomatica-y-el-costo-de-su-restauracion-yo-construi-un-edificio-de-7-pisos-por-la-misma-cantidad/","www.prensa.com","2025-10-01T21:29:41.592417"
"Publicando Historia","https://www.laestrella.com.pa/panama/publicando-historia","www.laestrella.com.pa","2025-10-01T21:29:42.846061"
"Cuentos y poesía","https://www.laestrella.com.pa/vida-y-cultura/cuentos-y-poesia","www.laestrella.com.pa","2025-10-01T21:29:42.846341"
"Opinión Gráfica","https://www.laestrella.com.pa/opinion/opinion-grafica","www.laestrella.com.pa","2025-10-01T21:29:42.846452"
"Últimas Noticias","https://www.laestrella.com.pa/ultimas","www.laestrella.com.pa","2025-10-01T21:29:42.846547"
"Eliminatorias Mundialistas","https://www.laestrella.com.pa/tag/-/meta/premios-juventud-2025","www.laestrella.com.pa","2025-10-01T21:29:42.846580"
"José Raúl Mulino","https://www.laestrella.com.pa/tag/-/meta/jose-raul-mulino","www.laestrella.com.pa","2025-10-01T21:29:42.846599"
"Canal de Panamá","https://www.laestrella.com.pa/tag/-/meta/canal-de-panama","www.laestrella.com.pa","2025-10-01T21:29:42.846617"
"Ministerio de Salud","https://www.laestrella.com.pa/tag/-/meta/minsa-ministerio-de-salud","www.laestrella.com.pa","2025-10-01T21:29:42.846635"
"Puntos de venta","https://www.laestrella.com.pa/punto-venta","www.laestrella.com.pa","2025-10-01T21:29:42.847039"
"Comisión de Gobierno niega iniciativa de Camacho sobre castigos penales a funcionarios judiciales(Cedida | Redes Sociales)","https://www.laestrella.com.pa/panama/asamblea-rechaza-proyecto-de-ley-que-buscaba-sancionar-a-jueces-y-fiscales-por-prevaricato-BB16357699","www.laestrella.com.pa","2025-10-01T21:29:42.847180"
"Asamblea rechaza proyecto de ley que buscaba sancionar a jueces y fiscales por prevaricato","https://www.laestrella.com.pa/panama/asamblea-rechaza-proyecto-de-ley-que-buscaba-sancionar-a-jueces-y-fiscales-por-prevaricato-BB16357699","www.laestrella.com.pa","2025-10-01T21:29:42.847205"
"Bernabé Yangüez","https://www.laestrella.com.pa/autor/-/meta/bernabe-yanguez","www.laestrella.com.pa","2025-10-01T21:29:42.847236"
"Grupos Parlamentario de Amistad entre China y Panamá.(Erick Marciscano | La Estrella de Panamá)","https://www.laestrella.com.pa/panama/que-diputados-conforman-el-grupo-parlamentario-de-amistad-entre-china-y-panama-NA16348005","www.laestrella.com.pa","2025-10-01T21:29:42.847260"
"¿Qué diputados conforman el Grupo Parlamentario de Amistad entre China y Panamá?","https://www.laestrella.com.pa/panama/que-diputados-conforman-el-grupo-parlamentario-de-amistad-entre-china-y-panama-NA16348005","www.laestrella.com.pa","2025-10-01T21:29:42.847283"
"Adolfo Berríos Riaño","https://www.laestrella.com.pa/autor/-/meta/adolfo-berrios-riano","www.laestrella.com.pa","2025-10-01T21:29:42.847303"
"La Comisión de Gobierno aprobó por unanimidad el llamado proyecto de ley ‘Antibotellas’.(Richard Bonilla | La Estrella de Panamá)","https://www.laestrella.com.pa/panama/nacional/ley-antibotellas-avanza-a-primer-debate-incluyendo-mas-anos-de-prision-de-cuanto-sera-la-pena-IE16211018","www.laestrella.com.pa","2025-10-01T21:29:42.847326"
"Ley ‘antibotellas’ avanza a primer debate incluyendo más años de prisión, ¿de cuánto será la pena?","https://www.laestrella.com.pa/panama/nacional/ley-antibotellas-avanza-a-primer-debate-incluyendo-mas-anos-de-prision-de-cuanto-sera-la-pena-IE16211018","www.laestrella.com.pa","2025-10-01T21:29:42.847350"
"Kathyria Caicedo","https://www.laestrella.com.pa/autor/-/meta/kathyria-caicedo","www.laestrella.com.pa","2025-10-01T21:29:42.847368"
"En 2023, un total de 37 mujeres perdieron la vida durante el parto.","https://www.laestrella.com.pa/panama/dar-a-luz-con-dignidad-la-deuda-con-las-mujeres-panamenas-IP16193092","www.laestrella.com.pa","2025-10-01T21:29:42.847389"
"Dar a luz con dignidad: la deuda con las mujeres panameñas","https://www.laestrella.com.pa/panama/dar-a-luz-con-dignidad-la-deuda-con-las-mujeres-panamenas-IP16193092","www.laestrella.com.pa","2025-10-01T21:29:42.847413"
"La demanda tiene como meta que no haya oscurantismos en quienes reciben fondos del Estado.(Archivo | La Estrella de Panamá)","https://www.laestrella.com.pa/panama/publicacion-de-beneficiarios-finales-de-empresas-licitantes-en-manos-de-la-corte-MB16173096","www.laestrella.com.pa","2025-10-01T21:29:42.847453"
"Publicación de beneficiarios finales de empresas licitantes en manos de la Corte","https://www.laestrella.com.pa/panama/publicacion-de-beneficiarios-finales-de-empresas-licitantes-en-manos-de-la-corte-MB16173096","www.laestrella.com.pa","2025-10-01T21:29:42.847477"
"Más de 800.000 estudiantes del sector público se ven afectados por la combinación de recortes presupuestarios, baja ejecución de proyectos y aulas en precario estado en el país.(Roberto Barrios | La Estrella de Panamá)","https://www.laestrella.com.pa/panama/recortes-millonarios-y-muertes-sin-respuesta-el-abandono-del-estado-a-la-educacion-publica-PB16172490","www.laestrella.com.pa","2025-10-01T21:29:42.847519"
"Recortes millonarios y muertes sin respuesta: el abandono del Estado a la educación pública","https://www.laestrella.com.pa/panama/recortes-millonarios-y-muertes-sin-respuesta-el-abandono-del-estado-a-la-educacion-publica-PB16172490","www.laestrella.com.pa","2025-10-01T21:29:42.847548"
